,Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
91974,2022-2023,EPL,Chelsea,Christian Pulisic,us USA,"FW,DF",24.0,6.0,627.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,28.0,16.0,56.0,0.14,0.14,0.29,0.14,0.29,1.3,1.3,0.5,1.8,0.19,0.08,0.27,0.19,0.27
91975,2022-2023,EPL,Chelsea,Hakim Ziyech,ma MAR,"FW,MF",29.0,6.0,572.0,6.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,35.0,56.0,0.0,0.16,0.16,0.0,0.16,0.6,0.6,1.4,2.0,0.09,0.22,0.31,0.09,0.31
91976,2022-2023,EPL,Chelsea,Benoît Badiashile,fr FRA,DF,21.0,6.0,545.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5,1.1,0.1,0.08,0.19,0.1,0.19
91977,2022-2023,EPL,Chelsea,Enzo Fernández,ar ARG,MF,22.0,6.0,533.0,5.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,52.0,6.0,0.0,0.34,0.34,0.0,0.34,0.3,0.3,0.6,0.9,0.07,0.12,0.19,0.07,0.19
91978,2022-2023,EPL,Chelsea,João Félix,pt POR,"MF,FW",23.0,6.0,431.0,4.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,13.0,25.0,36.0,0.21,0.0,0.21,0.21,0.21,2.0,2.0,0.4,2.4,0.47,0.1,0.57,0.47,0.57
91979,2022-2023,EPL,Chelsea,Wesley Fofana,fr FRA,DF,22.0,4.0,472.0,5.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,13.0,20.0,7.0,0.19,0.0,0.19,0.19,0.19,0.3,0.3,0.0,0.3,0.06,0.0,0.06,0.06,0.06
91980,2022-2023,EPL,Chelsea,Pierre-Emerick Aubameyang,ga GAB,FW,33.0,4.0,441.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,3.0,22.0,0.2,0.0,0.2,0.2,0.2,0.7,0.7,0.3,1.0,0.14,0.07,0.21,0.14,0.21
91981,2022-2023,EPL,Chelsea,Denis Zakaria,ch SUI,MF,26.0,4.0,338.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.05,0.01,0.06,0.05,0.06
91982,2022-2023,EPL,Chelsea,Lewis Hall,eng ENG,"DF,MF",18.0,4.0,304.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.7,0.14,0.08,0.22,0.14,0.22
91983,2022-2023,EPL,Chelsea,Mykhailo Mudryk,ua UKR,FW,22.0,3.0,263.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,12.0,0.0,0.34,0.34,0.0,0.34,0.4,0.4,0.0,0.4,0.22,0.0,0.22,0.22,0.22
91984,2022-2023,EPL,Chelsea,Armando Broja,al ALB,FW,21.0,2.0,294.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,17.0,0.31,0.0,0.31,0.31,0.31,0.8,0.8,0.1,0.9,0.26,0.02,0.27,0.26,0.27
91985,2022-2023,EPL,Chelsea,Noni Madueke,eng ENG,FW,21.0,2.0,182.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.06,0.08,0.14,0.06,0.14
91986,2022-2023,EPL,Chelsea,N'Golo Kanté,fr FRA,MF,31.0,2.0,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.05,0.13,0.18,0.05,0.18
91987,2022-2023,EPL,Chelsea,Carney Chukwuemeka,eng ENG,"MF,FW",19.0,1.0,227.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.12,0.05,0.17,0.12,0.17
91988,2022-2023,EPL,Chelsea,Datro Fofana,ci CIV,FW,20.0,1.0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.35,0.09,0.45,0.35,0.45
91989,2022-2023,EPL,Chelsea,Omari Hutchinson,eng ENG,FW,19.0,0.0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91998,2022-2023,EPL,Aston Villa,Ezri Konsa,eng ENG,DF,25.0,25.0,2242.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5,1.2,0.03,0.02,0.05,0.03,0.05
91999,2022-2023,EPL,Aston Villa,Emiliano Martínez,ar ARG,GK,30.0,24.0,2104.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.01,0.01,0.0,0.01
92000,2022-2023,EPL,Aston Villa,Ollie Watkins,eng ENG,FW,27.0,24.0,2053.0,22.8,9.0,4.0,13.0,8.0,1.0,1.0,1.0,0.0,34.0,30.0,120.0,0.39,0.18,0.57,0.35,0.53,8.9,8.1,2.4,10.5,0.41,0.11,0.51,0.37,0.48
92001,2022-2023,EPL,Aston Villa,Tyrone Mings,eng ENG,DF,30.0,23.0,2070.0,23.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,10.0,62.0,6.0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.6,0.6,0.0,0.03,0.03,0.0,0.03
92002,2022-2023,EPL,Aston Villa,Douglas Luiz,br BRA,MF,24.0,21.0,1860.0,20.7,2.0,5.0,7.0,2.0,0.0,0.0,4.0,1.0,26.0,78.0,19.0,0.1,0.24,0.34,0.1,0.34,1.0,1.0,2.7,3.7,0.05,0.14,0.19,0.05,0.19
92003,2022-2023,EPL,Aston Villa,Leon Bailey,jm JAM,"FW,MF",25.0,20.0,1545.0,17.2,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,61.0,25.0,135.0,0.23,0.12,0.35,0.23,0.35,4.5,4.5,2.5,7.0,0.28,0.15,0.43,0.28,0.43
92004,2022-2023,EPL,Aston Villa,Jacob Ramsey,eng ENG,"MF,FW",21.0,19.0,1588.0,17.6,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,49.0,61.0,65.0,0.11,0.11,0.23,0.11,0.23,1.4,1.4,1.6,3.0,0.08,0.1,0.18,0.08,0.18
92005,2022-2023,EPL,Aston Villa,John McGinn,sct SCO,MF,28.0,18.0,1614.0,17.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,11.0,72.0,42.0,0.0,0.11,0.11,0.0,0.11,1.7,1.7,1.5,3.2,0.1,0.09,0.19,0.1,0.19
92006,2022-2023,EPL,Aston Villa,Boubacar Kamara,fr FRA,MF,23.0,18.0,1524.0,16.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,14.0,79.0,8.0,0.0,0.06,0.06,0.0,0.06,0.2,0.2,0.8,1.0,0.01,0.05,0.06,0.01,0.06
92007,2022-2023,EPL,Aston Villa,Matty Cash,pl POL,DF,25.0,17.0,1549.0,17.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,38.0,69.0,55.0,0.0,0.06,0.06,0.0,0.06,0.2,0.2,0.7,0.9,0.01,0.04,0.06,0.01,0.06
92008,2022-2023,EPL,Aston Villa,Emi Buendía,ar ARG,"MF,FW",26.0,17.0,1544.0,17.2,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,33.0,90.0,81.0,0.23,0.0,0.23,0.23,0.23,3.9,3.9,3.0,6.9,0.24,0.19,0.42,0.24,0.42
92009,2022-2023,EPL,Aston Villa,Lucas Digne,fr FRA,DF,29.0,16.0,1291.0,14.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,23.0,51.0,74.0,0.07,0.0,0.07,0.07,0.07,0.3,0.3,1.6,1.9,0.02,0.11,0.13,0.02,0.13
92010,2022-2023,EPL,Aston Villa,Ashley Young,eng ENG,DF,37.0,14.0,1278.0,14.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,17.0,67.0,28.0,0.07,0.0,0.07,0.07,0.07,0.2,0.2,0.8,1.0,0.01,0.05,0.07,0.01,0.07
92011,2022-2023,EPL,Aston Villa,Danny Ings,eng ENG,FW,30.0,8.0,824.0,9.2,6.0,0.0,6.0,4.0,2.0,2.0,3.0,0.0,15.0,12.0,46.0,0.66,0.0,0.66,0.44,0.44,5.3,3.8,1.2,5.0,0.59,0.13,0.71,0.41,0.54
92012,2022-2023,EPL,Aston Villa,Philippe Coutinho,br BRA,"MF,FW",30.0,7.0,788.0,8.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,18.0,48.0,68.0,0.11,0.0,0.11,0.11,0.11,1.4,1.4,0.5,1.8,0.16,0.05,0.21,0.16,0.21
92013,2022-2023,EPL,Aston Villa,Álex Moreno,es ESP,DF,29.0,4.0,486.0,5.4,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,11.0,9.0,37.0,0.0,0.37,0.37,0.0,0.37,0.3,0.3,0.7,1.0,0.06,0.15,0.21,0.06,0.21
92014,2022-2023,EPL,Aston Villa,Leander Dendoncker,be BEL,MF,27.0,3.0,365.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.01,0.11,0.12,0.01,0.12
92015,2022-2023,EPL,Aston Villa,Calum Chambers,eng ENG,"DF,MF",28.0,2.0,237.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
92016,2022-2023,EPL,Aston Villa,Robin Olsen,se SWE,GK,33.0,2.0,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92017,2022-2023,EPL,Aston Villa,Diego Carlos,br BRA,DF,29.0,2.0,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.18,0.0,0.18,0.18,0.18
92018,2022-2023,EPL,Aston Villa,Jan Bednarek,pl POL,DF,26.0,1.0,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92019,2022-2023,EPL,Aston Villa,Ludwig Augustinsson,se SWE,DF,28.0,1.0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1
92020,2022-2023,EPL,Aston Villa,Jhon Durán,co COL,FW,19.0,0.0,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.18,0.0,0.18,0.18,0.18
92021,2022-2023,EPL,Aston Villa,Cameron Archer,eng ENG,"FW,MF",21.0,0.0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92023,2022-2023,EPL,Aston Villa,Morgan Sanson,fr FRA,MF,28.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92034,2022-2023,EPL,Crystal Palace,Vicente Guaita,es ESP,GK,36.0,26.0,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92035,2022-2023,EPL,Crystal Palace,Marc Guéhi,eng ENG,DF,22.0,25.0,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,71.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,0.03,0.01,0.03,0.03,0.03
92036,2022-2023,EPL,Crystal Palace,Cheick Doucouré,ml MLI,MF,23.0,23.0,1888.0,21.0,0.0,2.0,2.0,0.0,0.0,0.0,9.0,1.0,13.0,98.0,10.0,0.0,0.1,0.1,0.0,0.1,0.8,0.8,1.6,2.4,0.04,0.08,0.11,0.04,0.11
92037,2022-2023,EPL,Crystal Palace,Jeffrey Schlupp,gh GHA,"MF,FW",30.0,22.0,1869.0,20.8,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,23.0,66.0,44.0,0.05,0.0,0.05,0.05,0.05,1.5,1.5,0.6,2.2,0.08,0.03,0.11,0.08,0.11
92038,2022-2023,EPL,Crystal Palace,Jordan Ayew,gh GHA,"FW,MF",31.0,22.0,1830.0,20.3,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,50.0,37.0,103.0,0.05,0.05,0.1,0.05,0.1,1.4,1.4,1.6,3.0,0.07,0.08,0.15,0.07,0.15
92039,2022-2023,EPL,Crystal Palace,Tyrick Mitchell,eng ENG,DF,23.0,22.0,1811.0,20.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,15.0,64.0,53.0,0.0,0.1,0.1,0.0,0.1,0.3,0.3,0.8,1.1,0.02,0.04,0.06,0.02,0.06
92040,2022-2023,EPL,Crystal Palace,Wilfried Zaha,ci CIV,"FW,MF",30.0,21.0,1841.0,20.5,6.0,2.0,8.0,6.0,0.0,2.0,4.0,0.0,55.0,45.0,177.0,0.29,0.1,0.39,0.29,0.39,5.1,3.4,2.4,5.8,0.26,0.12,0.38,0.18,0.3
92041,2022-2023,EPL,Crystal Palace,Joachim Andersen,dk DEN,DF,26.0,21.0,1837.0,20.4,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,5.0,51.0,5.0,0.05,0.0,0.05,0.05,0.05,1.3,1.3,0.4,1.7,0.07,0.02,0.09,0.07,0.09
92042,2022-2023,EPL,Crystal Palace,Eberechi Eze,eng ENG,"MF,FW",24.0,20.0,1682.0,18.7,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,42.0,71.0,66.0,0.21,0.16,0.37,0.21,0.37,3.2,3.2,2.8,5.9,0.17,0.15,0.32,0.17,0.32
92043,2022-2023,EPL,Crystal Palace,Michael Olise,fr FRA,"MF,FW",21.0,19.0,1700.0,18.9,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.0,60.0,75.0,130.0,0.11,0.26,0.37,0.11,0.37,1.3,1.3,4.3,5.6,0.07,0.24,0.31,0.07,0.31
92044,2022-2023,EPL,Crystal Palace,Nathaniel Clyne,eng ENG,DF,31.0,18.0,1546.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.03,0.03,0.0,0.03
92045,2022-2023,EPL,Crystal Palace,Joel Ward,eng ENG,DF,33.0,14.0,1315.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,49.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.01,0.0,0.01
92046,2022-2023,EPL,Crystal Palace,Odsonne Édouard,fr FRA,FW,25.0,12.0,1135.0,12.6,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,20.0,29.0,61.0,0.24,0.16,0.4,0.24,0.4,2.8,2.8,0.9,3.7,0.23,0.07,0.3,0.23,0.3
92047,2022-2023,EPL,Crystal Palace,Jean-Philippe Mateta,fr FRA,FW,25.0,6.0,684.0,7.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,5.0,33.0,0.13,0.0,0.13,0.13,0.13,2.4,2.4,0.6,3.1,0.32,0.08,0.4,0.32,0.4
92048,2022-2023,EPL,Crystal Palace,Albert Sambi Lokonga,be BEL,MF,23.0,4.0,376.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
92049,2022-2023,EPL,Crystal Palace,Will Hughes,eng ENG,MF,27.0,3.0,392.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.03,0.03,0.07,0.03,0.07
92050,2022-2023,EPL,Crystal Palace,Chris Richards,us USA,DF,22.0,3.0,357.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,1.0,0.18,0.06,0.25,0.18,0.25
92051,2022-2023,EPL,Crystal Palace,Luka Milivojević,rs SRB,MF,31.0,3.0,353.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.07,0.05,0.13,0.07,0.13
92052,2022-2023,EPL,Crystal Palace,James Tomkins,eng ENG,DF,33.0,2.0,247.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.36,0.0,0.36,0.36,0.36,0.9,0.9,0.0,0.9,0.32,0.0,0.32,0.32,0.32
92053,2022-2023,EPL,Crystal Palace,Naouirou Ahamada,fr FRA,"MF,FW",20.0,0.0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.22,0.0,0.22,0.22,0.22
92054,2022-2023,EPL,Crystal Palace,Jaïro Riedewald,nl NED,"DF,FW",26.0,0.0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92055,2022-2023,EPL,Crystal Palace,Malcolm Ebiowei,eng ENG,"MF,FW",19.0,0.0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92056,2022-2023,EPL,Crystal Palace,James McArthur,sct SCO,MF,35.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92057,2022-2023,EPL,Crystal Palace,David Ozoh,en ENG,FW,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92070,2022-2023,EPL,Wolves,Max Kilman,eng ENG,DF,25.0,27.0,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,21.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.04,0.0,0.04,0.04,0.04
92071,2022-2023,EPL,Wolves,José Sá,pt POR,GK,30.0,27.0,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92072,2022-2023,EPL,Wolves,Rúben Neves,pt POR,MF,26.0,26.0,2318.0,25.8,5.0,0.0,5.0,3.0,2.0,2.0,9.0,0.0,19.0,152.0,11.0,0.19,0.0,0.19,0.12,0.12,3.8,2.2,1.0,3.2,0.15,0.04,0.19,0.09,0.13
92073,2022-2023,EPL,Wolves,Matheus Nunes,pt POR,MF,24.0,21.0,1694.0,18.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,60.0,88.0,0.0,0.05,0.05,0.0,0.05,2.1,2.1,1.9,4.0,0.11,0.1,0.21,0.11,0.21
92074,2022-2023,EPL,Wolves,Nélson Semedo,pt POR,DF,29.0,20.0,1722.0,19.1,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,38.0,71.0,91.0,0.0,0.05,0.05,0.0,0.05,0.1,0.1,0.6,0.7,0.01,0.03,0.04,0.01,0.04
92075,2022-2023,EPL,Wolves,João Moutinho,pt POR,MF,36.0,19.0,1641.0,18.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,14.0,124.0,25.0,0.0,0.11,0.11,0.0,0.11,1.1,1.1,2.4,3.5,0.06,0.14,0.2,0.06,0.2
92076,2022-2023,EPL,Wolves,Nathan Collins,ie IRL,DF,21.0,17.0,1533.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,53.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.01,0.0,0.01
92077,2022-2023,EPL,Wolves,Daniel Podence,pt POR,"FW,MF",27.0,17.0,1452.0,16.1,5.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,32.0,77.0,118.0,0.31,0.0,0.31,0.31,0.31,3.1,3.1,1.9,5.0,0.2,0.12,0.33,0.2,0.33
92078,2022-2023,EPL,Wolves,Jonny Castro,es ESP,DF,29.0,13.0,1178.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,62.0,39.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,0.02,0.04,0.06,0.02,0.06
92079,2022-2023,EPL,Wolves,Hugo Bueno,es ESP,DF,20.0,13.0,1040.0,11.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,41.0,31.0,52.0,0.0,0.09,0.09,0.0,0.09,0.2,0.2,0.7,0.9,0.02,0.06,0.07,0.02,0.07
92080,2022-2023,EPL,Wolves,Adama Traoré,es ESP,"FW,MF",27.0,9.0,1142.0,12.7,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,59.0,28.0,110.0,0.16,0.08,0.24,0.16,0.24,1.1,1.1,2.5,3.7,0.09,0.21,0.3,0.09,0.3
92081,2022-2023,EPL,Wolves,Rayan Aït Nouri,fr FRA,DF,21.0,9.0,1031.0,11.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,30.0,42.0,73.0,0.09,0.0,0.09,0.09,0.09,0.7,0.7,1.0,1.7,0.06,0.09,0.15,0.06,0.15
92082,2022-2023,EPL,Wolves,Hwang Hee-chan,kr KOR,FW,27.0,9.0,712.0,7.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,16.0,19.0,35.0,0.13,0.13,0.25,0.13,0.25,0.4,0.4,1.0,1.5,0.06,0.13,0.19,0.06,0.19
92083,2022-2023,EPL,Wolves,Diego Costa,es ESP,FW,34.0,9.0,711.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,4.0,35.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,0.3,2.5,0.28,0.04,0.32,0.28,0.32
92084,2022-2023,EPL,Wolves,Pedro Neto,pt POR,"FW,MF",23.0,9.0,689.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,18.0,81.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.2,1.9,0.1,0.16,0.26,0.1,0.26
92085,2022-2023,EPL,Wolves,Gonçalo Guedes,pt POR,"FW,MF",26.0,8.0,707.0,7.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,20.0,16.0,54.0,0.13,0.13,0.25,0.13,0.25,1.2,1.2,0.5,1.7,0.15,0.06,0.22,0.15,0.22
92086,2022-2023,EPL,Wolves,Craig Dawson,eng ENG,DF,32.0,7.0,630.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,1.0,0.14,0.0,0.14,0.14,0.14,0.4,0.4,0.0,0.4,0.07,0.0,0.07,0.07,0.07
92087,2022-2023,EPL,Wolves,Mario Lemina,ga GAB,MF,29.0,7.0,507.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.01,0.03,0.03,0.01,0.03
92088,2022-2023,EPL,Wolves,Raúl Jiménez,mx MEX,FW,31.0,6.0,653.0,7.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,37.0,0.0,0.14,0.14,0.0,0.14,2.0,2.0,1.4,3.4,0.31,0.23,0.54,0.31,0.54
92089,2022-2023,EPL,Wolves,Pablo Sarabia,es ESP,"FW,MF",30.0,6.0,470.0,5.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,20.0,31.0,0.19,0.0,0.19,0.19,0.19,1.7,1.7,0.7,2.5,0.33,0.14,0.47,0.33,0.47
92090,2022-2023,EPL,Wolves,Matheus Cunha,br BRA,FW,23.0,5.0,402.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.5,0.23,0.11,0.34,0.23,0.34
92091,2022-2023,EPL,Wolves,Boubacar Traoré,ml MLI,MF,21.0,4.0,384.0,4.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,8.0,2.0,0.0,0.23,0.23,0.0,0.23,0.1,0.1,0.2,0.2,0.02,0.04,0.06,0.02,0.06
92092,2022-2023,EPL,Wolves,Toti Gomes,pt POR,DF,24.0,3.0,310.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.02,0.0,0.02
