,Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
91762,2022-2023,EPL,Tottenham,Dejan Kulusevski,se SWE,"MF,FW",22.0,16.0,1382.0,15.4,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,65.0,45.0,141.0,0.13,0.33,0.46,0.13,0.46,1.7,1.7,3.1,4.8,0.11,0.21,0.31,0.11,0.31
91763,2022-2023,EPL,Tottenham,Clément Lenglet,fr FRA,DF,27.0,15.0,1282.0,14.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,20.0,48.0,6.0,0.0,0.14,0.14,0.0,0.14,0.8,0.8,0.6,1.4,0.06,0.05,0.1,0.06,0.1
91764,2022-2023,EPL,Tottenham,Ryan Sessegnon,eng ENG,DF,22.0,9.0,813.0,9.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,24.0,22.0,64.0,0.22,0.0,0.22,0.22,0.22,1.6,1.6,1.1,2.7,0.18,0.12,0.3,0.18,0.3
91765,2022-2023,EPL,Tottenham,Yves Bissouma,ml MLI,MF,26.0,8.0,814.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,45.0,7.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,0.02,0.06,0.08,0.02,0.08
91766,2022-2023,EPL,Tottenham,Richarlison,br BRA,"MF,FW",25.0,8.0,747.0,8.3,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,19.0,21.0,51.0,0.0,0.36,0.36,0.0,0.36,2.1,2.1,1.4,3.5,0.28,0.19,0.48,0.28,0.48
91767,2022-2023,EPL,Tottenham,Matt Doherty,ie IRL,"DF,MF",31.0,7.0,667.0,7.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,20.0,57.0,0.13,0.0,0.13,0.13,0.13,0.8,0.8,0.3,1.0,0.1,0.04,0.14,0.1,0.14
91768,2022-2023,EPL,Tottenham,Oliver Skipp,eng ENG,MF,22.0,7.0,556.0,6.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,7.0,25.0,15.0,0.16,0.0,0.16,0.16,0.16,0.2,0.2,0.3,0.5,0.04,0.06,0.1,0.04,0.1
91769,2022-2023,EPL,Tottenham,Davinson Sánchez,co COL,DF,26.0,6.0,573.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.05,0.01,0.06,0.05,0.06
91770,2022-2023,EPL,Tottenham,Fraser Forster,eng ENG,GK,34.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91771,2022-2023,EPL,Tottenham,Pedro Porro,es ESP,DF,23.0,3.0,246.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,12.0,0.0,0.37,0.37,0.0,0.37,0.2,0.2,0.1,0.3,0.14,0.05,0.19,0.14,0.19
