Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
2018-2019,SeriaA,Atalanta,Luca Valzania,it ITA,MF,22.0,0.8,1.0,1.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Atalanta,Dejan Kulusevski,se SWE,MF,18.0,1.2,1.0,0.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Atalanta,Arkadiusz Reca,pl POL,DF,23.0,0.5,2.0,3.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Atalanta,Roberto Piccoli,it ITA,"FW,MF",17.0,0.5,2.0,3.75,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.87,0.0,0.0,0.0,0.0,0.0,1.0,Matches
2018-2019,SeriaA,Atalanta,Marco Tumminello,it ITA,"FW,DF",19.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Atalanta,Roger Ibanez,br BRA,"DF,FW",19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Atalanta,Francesco Rossi,it ITA,GK,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Atalanta,Squad Total,,,26.5,38.0,1148.0,30.21,864.0,92.0,71.0,75.0,31.0,15.0,137.0,3.61,100.0,8.0,10.0,12.0,3.0,4.0,
2018-2019,SeriaA,Atalanta,Opponent Total,,,26.9,38.0,716.0,18.84,522.0,63.0,42.0,37.0,36.0,16.0,72.0,1.89,54.0,5.0,3.0,3.0,6.0,1.0,
2018-2019,SeriaA,Inter,Samir Handanović,si SVN,GK,34.0,38.0,2.0,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,Milan Škriniar,sk SVK,DF,23.0,35.0,25.0,0.71,22.0,0.0,0.0,1.0,2.0,0.0,2.0,0.06,1.0,0.0,0.0,0.0,1.0,0.0,Matches
2018-2019,SeriaA,Inter,Marcelo Brozović,hr CRO,MF,25.0,29.4,144.0,4.89,117.0,19.0,2.0,1.0,1.0,4.0,6.0,0.2,3.0,2.0,0.0,0.0,0.0,1.0,Matches
2018-2019,SeriaA,Inter,Matteo Politano,it ITA,FW,24.0,28.3,137.0,4.84,92.0,26.0,7.0,7.0,4.0,1.0,12.0,0.42,9.0,1.0,1.0,0.0,1.0,0.0,Matches
2018-2019,SeriaA,Inter,Ivan Perišić,hr CRO,FW,29.0,30.0,118.0,3.93,85.0,12.0,5.0,15.0,0.0,1.0,9.0,0.3,4.0,2.0,0.0,3.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,Kwadwo Asamoah,gh GHA,DF,29.0,29.7,87.0,2.93,73.0,3.0,5.0,2.0,3.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,Danilo D'Ambrosio,it ITA,DF,29.0,28.7,72.0,2.51,60.0,5.0,2.0,1.0,3.0,1.0,14.0,0.49,10.0,1.0,1.0,0.0,2.0,0.0,Matches
2018-2019,SeriaA,Inter,Stefan de Vrij,nl NED,DF,26.0,28.0,16.0,0.57,14.0,0.0,0.0,2.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,Mauro Icardi,ar ARG,FW,25.0,25.2,61.0,2.42,46.0,0.0,2.0,5.0,6.0,2.0,8.0,0.32,6.0,0.0,0.0,0.0,2.0,0.0,Matches
2018-2019,SeriaA,Inter,Matías Vecino,uy URU,MF,26.0,22.4,69.0,3.08,50.0,2.0,4.0,9.0,2.0,2.0,9.0,0.4,4.0,0.0,1.0,3.0,0.0,1.0,Matches
2018-2019,SeriaA,Inter,Radja Nainggolan,be BEL,MF,30.0,21.9,85.0,3.89,68.0,1.0,4.0,7.0,2.0,3.0,6.0,0.27,4.0,0.0,1.0,0.0,1.0,0.0,Matches
2018-2019,SeriaA,Inter,Miranda,br BRA,DF,33.0,12.9,12.0,0.93,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,Lautaro Martínez,ar ARG,"FW,MF",20.0,14.9,41.0,2.75,27.0,1.0,1.0,8.0,4.0,0.0,3.0,0.2,2.0,0.0,0.0,1.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,Roberto Gagliardini,it ITA,MF,24.0,12.1,31.0,2.57,30.0,1.0,0.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,Borja Valero,es ESP,MF,33.0,13.7,53.0,3.87,50.0,0.0,1.0,0.0,1.0,1.0,5.0,0.37,5.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,João Mário,pt POR,"MF,FW",25.0,12.0,45.0,3.74,35.0,3.0,2.0,2.0,2.0,1.0,5.0,0.42,5.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,Dalbert Henrique,br BRA,DF,24.0,8.6,18.0,2.08,15.0,1.0,0.0,1.0,1.0,0.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,Keita Baldé,sn SEN,FW,23.0,9.9,43.0,4.35,31.0,0.0,6.0,2.0,4.0,0.0,5.0,0.51,3.0,0.0,2.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,Šime Vrsaljko,hr CRO,DF,26.0,8.1,27.0,3.34,16.0,11.0,0.0,0.0,0.0,0.0,3.0,0.37,2.0,1.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,Antonio Candreva,it ITA,"FW,MF",31.0,5.6,31.0,5.57,18.0,9.0,1.0,1.0,2.0,0.0,3.0,0.54,2.0,1.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,Cédric Soares,pt POR,DF,26.0,2.9,12.0,4.17,7.0,2.0,0.0,2.0,1.0,0.0,2.0,0.69,0.0,0.0,0.0,2.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,Andrea Ranocchia,it ITA,"DF,FW",30.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,Yann Karamoh,fr FRA,"FW,MF",20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Inter,Squad Total,,,27.7,38.0,1129.0,29.71,866.0,98.0,42.0,67.0,38.0,18.0,98.0,2.58,66.0,8.0,6.0,9.0,7.0,2.0,
2018-2019,SeriaA,Inter,Opponent Total,,,26.8,38.0,743.0,19.55,562.0,53.0,41.0,30.0,43.0,14.0,51.0,1.34,36.0,5.0,3.0,3.0,4.0,0.0,
2018-2019,SeriaA,Milan,Gianluigi Donnarumma,it ITA,GK,19.0,34.3,8.0,0.23,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Ricardo Rodríguez,ch SUI,DF,25.0,33.9,60.0,1.77,53.0,3.0,2.0,0.0,1.0,1.0,5.0,0.15,4.0,0.0,1.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Suso,es ESP,"FW,MF",24.0,33.5,196.0,5.84,150.0,17.0,18.0,3.0,7.0,1.0,18.0,0.54,15.0,1.0,1.0,1.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Franck Kessié,ci CIV,MF,21.0,33.5,112.0,3.34,99.0,2.0,4.0,5.0,0.0,2.0,6.0,0.18,6.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Hakan Çalhanoğlu,tr TUR,"MF,FW",24.0,32.0,161.0,5.02,118.0,23.0,4.0,10.0,4.0,2.0,13.0,0.41,8.0,2.0,0.0,2.0,1.0,0.0,Matches
2018-2019,SeriaA,Milan,Alessio Romagnoli,it ITA,DF,23.0,31.6,20.0,0.63,17.0,0.0,0.0,2.0,0.0,1.0,3.0,0.09,2.0,0.0,0.0,1.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Mateo Musacchio,ar ARG,DF,27.0,29.0,20.0,0.69,18.0,0.0,0.0,1.0,1.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,1.0,0.0,Matches
2018-2019,SeriaA,Milan,Tiemoué Bakayoko,fr FRA,MF,23.0,25.6,76.0,2.97,60.0,0.0,5.0,1.0,5.0,5.0,7.0,0.27,6.0,0.0,0.0,0.0,0.0,1.0,Matches
2018-2019,SeriaA,Milan,Davide Calabria,it ITA,DF,21.0,21.7,48.0,2.21,42.0,1.0,2.0,1.0,1.0,1.0,5.0,0.23,5.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Krzysztof Piątek,pl POL,FW,23.0,15.3,36.0,2.36,22.0,0.0,2.0,5.0,7.0,0.0,3.0,0.2,0.0,0.0,0.0,1.0,2.0,0.0,Matches
2018-2019,SeriaA,Milan,Ignazio Abate,it ITA,DF,31.0,14.5,23.0,1.59,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Gonzalo Higuaín,ar ARG,FW,30.0,14.2,43.0,3.03,33.0,0.0,4.0,5.0,1.0,0.0,3.0,0.21,2.0,0.0,1.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Lucas Biglia,ar ARG,MF,32.0,12.4,27.0,2.18,21.0,2.0,0.0,1.0,1.0,2.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Patrick Cutrone,it ITA,FW,20.0,16.2,30.0,1.85,28.0,0.0,1.0,1.0,0.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Cristián Zapata,co COL,DF,31.0,11.4,6.0,0.53,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Lucas Paquetá,br BRA,MF,20.0,9.4,26.0,2.78,19.0,0.0,2.0,1.0,3.0,1.0,6.0,0.64,3.0,0.0,1.0,1.0,1.0,0.0,Matches
2018-2019,SeriaA,Milan,Fabio Borini,it ITA,"FW,DF",27.0,11.7,37.0,3.16,25.0,0.0,5.0,3.0,3.0,1.0,3.0,0.26,2.0,0.0,0.0,1.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Samu Castillejo,es ESP,"FW,MF",23.0,11.4,47.0,4.13,36.0,7.0,3.0,1.0,0.0,0.0,3.0,0.26,2.0,0.0,1.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Giacomo Bonaventura,it ITA,MF,28.0,7.2,36.0,5.01,28.0,1.0,2.0,4.0,1.0,0.0,3.0,0.42,3.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Diego Laxalt,uy URU,"DF,MF",25.0,7.2,16.0,2.22,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Andrea Conti,it ITA,DF,24.0,5.6,16.0,2.89,13.0,3.0,0.0,0.0,0.0,0.0,2.0,0.36,2.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Pepe Reina,es ESP,GK,35.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,José Mauri,it ITA,MF,22.0,2.3,8.0,3.46,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.87,2.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Milan,Squad Total,,,24.8,38.0,1052.0,27.68,838.0,61.0,55.0,45.0,35.0,18.0,90.0,2.37,69.0,3.0,5.0,7.0,5.0,1.0,
2018-2019,SeriaA,Milan,Opponent Total,,,26.9,38.0,814.0,21.42,617.0,74.0,40.0,40.0,33.0,10.0,61.0,1.61,43.0,4.0,4.0,3.0,6.0,1.0,
2018-2019,SeriaA,Roma,Aleksandar Kolarov,rs SRB,DF,32.0,32.3,114.0,3.53,70.0,30.0,3.0,5.0,4.0,2.0,9.0,0.28,6.0,1.0,1.0,0.0,0.0,1.0,Matches
2018-2019,SeriaA,Roma,Federico Fazio,ar ARG,DF,31.0,31.2,21.0,0.67,17.0,0.0,1.0,1.0,0.0,2.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Steven Nzonzi,fr FRA,MF,29.0,29.1,58.0,1.99,51.0,1.0,1.0,3.0,0.0,2.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Edin Džeko,ba BIH,FW,32.0,28.7,108.0,3.77,73.0,0.0,15.0,11.0,8.0,1.0,16.0,0.56,13.0,0.0,2.0,0.0,1.0,0.0,Matches
2018-2019,SeriaA,Roma,Robin Olsen,se SWE,GK,28.0,27.0,5.0,0.19,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Kostas Manolas,gr GRE,DF,27.0,25.8,15.0,0.58,9.0,3.0,0.0,2.0,0.0,1.0,4.0,0.15,1.0,2.0,0.0,1.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Bryan Cristante,it ITA,MF,23.0,26.9,71.0,2.64,61.0,1.0,2.0,5.0,1.0,1.0,9.0,0.33,7.0,0.0,0.0,2.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Alessandro Florenzi,it ITA,"DF,FW",27.0,24.2,94.0,3.88,67.0,15.0,2.0,5.0,3.0,2.0,10.0,0.41,8.0,2.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Stephan El Shaarawy,it ITA,"FW,MF",25.0,23.4,90.0,3.85,70.0,1.0,8.0,9.0,2.0,0.0,12.0,0.51,8.0,0.0,1.0,1.0,2.0,0.0,Matches
2018-2019,SeriaA,Roma,Lorenzo Pellegrini,it ITA,MF,22.0,20.2,98.0,4.84,53.0,30.0,5.0,3.0,6.0,1.0,6.0,0.3,3.0,2.0,0.0,0.0,1.0,0.0,Matches
2018-2019,SeriaA,Roma,Nicolò Zaniolo,it ITA,"MF,FW",19.0,19.6,63.0,3.21,39.0,0.0,7.0,9.0,6.0,2.0,6.0,0.31,4.0,0.0,0.0,1.0,1.0,0.0,Matches
2018-2019,SeriaA,Roma,Cengiz Ünder,tr TUR,FW,21.0,15.3,73.0,4.79,49.0,9.0,8.0,3.0,4.0,0.0,12.0,0.79,8.0,1.0,2.0,0.0,1.0,0.0,Matches
2018-2019,SeriaA,Roma,Juan Jesus,br BRA,DF,27.0,15.6,10.0,0.64,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Patrik Schick,cz CZE,"FW,MF",22.0,14.6,34.0,2.33,23.0,0.0,3.0,6.0,2.0,0.0,5.0,0.34,1.0,0.0,1.0,1.0,2.0,0.0,Matches
2018-2019,SeriaA,Roma,Daniele De Rossi,it ITA,MF,35.0,14.1,38.0,2.7,36.0,0.0,0.0,0.0,1.0,1.0,5.0,0.35,4.0,0.0,0.0,0.0,1.0,0.0,Matches
2018-2019,SeriaA,Roma,Justin Kluivert,nl NED,FW,19.0,14.9,73.0,4.9,49.0,4.0,11.0,3.0,4.0,2.0,9.0,0.6,7.0,0.0,1.0,0.0,1.0,0.0,Matches
2018-2019,SeriaA,Roma,Davide Santon,it ITA,DF,27.0,11.2,28.0,2.5,22.0,2.0,0.0,0.0,4.0,0.0,3.0,0.27,1.0,0.0,0.0,0.0,2.0,0.0,Matches
2018-2019,SeriaA,Roma,Antonio Mirante,it ITA,GK,35.0,11.0,3.0,0.27,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Iván Marcano,es ESP,DF,31.0,9.0,13.0,1.44,9.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Javier Pastore,ar ARG,"MF,FW",29.0,6.6,45.0,6.78,31.0,5.0,4.0,3.0,1.0,1.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Rick Karsdorp,nl NED,DF,23.0,6.6,13.0,1.97,10.0,3.0,0.0,0.0,0.0,0.0,3.0,0.45,3.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Diego Perotti,ar ARG,"FW,MF",30.0,7.4,35.0,4.72,24.0,4.0,1.0,4.0,2.0,0.0,1.0,0.13,0.0,0.0,0.0,1.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Luca Pellegrini,it ITA,DF,19.0,1.8,3.0,1.67,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Kevin Strootman,nl NED,MF,28.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Ante Ćorić,hr CRO,MF,21.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Žan Celar,si SVN,FW,19.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Roma,Squad Total,,,27.5,38.0,1107.0,29.13,785.0,110.0,71.0,74.0,48.0,19.0,116.0,3.05,80.0,8.0,8.0,7.0,12.0,1.0,
2018-2019,SeriaA,Roma,Opponent Total,,,26.7,38.0,954.0,25.11,694.0,74.0,55.0,69.0,43.0,19.0,81.0,2.13,52.0,8.0,8.0,9.0,4.0,0.0,
2018-2019,SeriaA,Torino,Andrea Belotti,it ITA,FW,24.0,36.7,96.0,2.62,67.0,0.0,3.0,13.0,13.0,0.0,7.0,0.19,4.0,0.0,0.0,1.0,2.0,0.0,Matches
2018-2019,SeriaA,Torino,Armando Izzo,it ITA,DF,26.0,36.3,34.0,0.94,28.0,1.0,0.0,1.0,3.0,1.0,5.0,0.14,3.0,0.0,0.0,0.0,2.0,0.0,Matches
2018-2019,SeriaA,Torino,Nicolas Nkoulou,cm CMR,DF,28.0,35.7,13.0,0.36,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Salvatore Sirigu,it ITA,GK,31.0,35.2,7.0,0.2,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Tomás Rincón,ve VEN,MF,30.0,31.1,81.0,2.6,56.0,8.0,5.0,3.0,6.0,3.0,7.0,0.23,4.0,1.0,0.0,0.0,1.0,1.0,Matches
2018-2019,SeriaA,Torino,Soualiho Meïté,fr FRA,MF,24.0,29.5,88.0,2.98,72.0,0.0,8.0,4.0,2.0,2.0,11.0,0.37,9.0,0.0,2.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Lorenzo De Silvestri,it ITA,DF,30.0,26.8,60.0,2.24,52.0,5.0,0.0,3.0,0.0,0.0,8.0,0.3,6.0,2.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Daniele Baselli,it ITA,MF,26.0,26.4,84.0,3.18,54.0,20.0,6.0,2.0,0.0,2.0,6.0,0.23,6.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Cristian Ansaldi,ar ARG,"DF,MF",31.0,20.1,66.0,3.29,40.0,10.0,9.0,4.0,2.0,1.0,5.0,0.25,3.0,0.0,1.0,0.0,0.0,1.0,Matches
2018-2019,SeriaA,Torino,Ola Aina,ng NGA,DF,21.0,24.0,57.0,2.37,37.0,6.0,7.0,1.0,4.0,2.0,5.0,0.21,3.0,1.0,0.0,0.0,1.0,0.0,Matches
2018-2019,SeriaA,Torino,Emiliano Moretti,it ITA,DF,37.0,22.3,17.0,0.76,16.0,0.0,0.0,0.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Iago Falque,es ESP,"FW,MF",28.0,17.9,107.0,5.97,77.0,21.0,2.0,5.0,1.0,1.0,10.0,0.56,4.0,3.0,0.0,1.0,1.0,1.0,Matches
2018-2019,SeriaA,Torino,Koffi Djidji,ci CIV,DF,25.0,15.4,8.0,0.52,7.0,0.0,1.0,0.0,0.0,0.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Álex Berenguer,es ESP,"MF,DF",23.0,16.5,72.0,4.36,45.0,12.0,7.0,2.0,6.0,0.0,8.0,0.48,4.0,2.0,0.0,0.0,2.0,0.0,Matches
2018-2019,SeriaA,Torino,Simone Zaza,it ITA,"FW,MF",27.0,16.0,48.0,3.01,28.0,0.0,2.0,9.0,8.0,1.0,6.0,0.38,3.0,0.0,0.0,3.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Saša Lukić,rs SRB,MF,21.0,11.0,37.0,3.37,24.0,7.0,3.0,0.0,2.0,1.0,2.0,0.18,0.0,1.0,1.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Roberto Soriano,it ITA,MF,27.0,5.2,17.0,3.27,12.0,1.0,0.0,1.0,2.0,1.0,2.0,0.38,2.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Vittorio Parigini,it ITA,"MF,DF",22.0,4.2,15.0,3.59,10.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Salvador Ichazo,uy URU,GK,26.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Gleison Bremer,br BRA,DF,21.0,2.0,1.0,0.49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Lyanco,br BRA,DF,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Simone Edera,it ITA,MF,21.0,0.9,5.0,5.84,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Adem Ljajić,rs SRB,MF,26.0,0.3,3.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Vitalie Damașcan,md MDA,MF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Vincenzo Millico,it ITA,MF,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Torino,Squad Total,,,27.6,38.0,916.0,24.11,646.0,99.0,56.0,49.0,51.0,15.0,86.0,2.26,55.0,10.0,4.0,5.0,9.0,3.0,
2018-2019,SeriaA,Torino,Opponent Total,,,26.9,38.0,826.0,21.74,579.0,97.0,29.0,53.0,47.0,21.0,61.0,1.61,37.0,3.0,6.0,10.0,3.0,2.0,
2018-2019,SeriaA,Lazio,Francesco Acerbi,it ITA,DF,30.0,36.8,31.0,0.84,27.0,0.0,0.0,1.0,3.0,0.0,2.0,0.05,1.0,0.0,0.0,1.0,0.0,0.0,Matches
2018-2019,SeriaA,Lazio,Thomas Strakosha,al ALB,GK,23.0,35.0,8.0,0.23,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Lazio,Senad Lulić,ba BIH,"DF,FW",32.0,32.5,121.0,3.73,106.0,5.0,4.0,2.0,2.0,2.0,6.0,0.18,4.0,0.0,1.0,1.0,0.0,0.0,Matches
2018-2019,SeriaA,Lazio,Ciro Immobile,it ITA,FW,28.0,31.8,133.0,4.19,102.0,0.0,8.0,13.0,10.0,0.0,12.0,0.38,11.0,0.0,0.0,1.0,0.0,0.0,Matches
2018-2019,SeriaA,Lazio,Sergej Milinković-Savić,rs SRB,MF,23.0,26.6,115.0,4.32,92.0,3.0,3.0,13.0,3.0,1.0,8.0,0.3,8.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Lazio,Marco Parolo,it ITA,MF,33.0,28.5,61.0,2.14,52.0,0.0,2.0,7.0,0.0,0.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Lazio,Ștefan Radu,ro ROU,DF,31.0,24.9,31.0,1.24,25.0,2.0,0.0,2.0,2.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,Matches
2018-2019,SeriaA,Lazio,Luis Alberto,es ESP,"MF,FW",25.0,22.1,154.0,6.97,103.0,34.0,4.0,10.0,2.0,1.0,10.0,0.45,4.0,4.0,0.0,2.0,0.0,0.0,Matches
2018-2019,SeriaA,Lazio,Adam Marušić,me MNE,DF,25.0,23.5,47.0,2.0,41.0,1.0,2.0,1.0,2.0,0.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Lazio,Lucas Leiva,br BRA,MF,31.0,22.1,53.0,2.4,41.0,6.0,0.0,1.0,1.0,4.0,4.0,0.18,4.0,0.0,0.0,0.0,0.0,0.0,Matches
2018-2019,SeriaA,Lazio,Joaquín Correa,ar ARG,"FW,MF",23.0,21.4,125.0,5.84,81.0,5.0,20.0,9.0,10.0,0.0,17.0,0.79,10.0,0.0,2.0,3.0,2.0,0.0,Matches
