Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
2017-2018,EPL,Chelsea,Willy Caballero,ar ARG,GK,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Chelsea,Ross Barkley,eng ENG,MF,23.0,1.4,4.0,2.79,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Chelsea,Jeremie Boga,ci CIV,MF,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Chelsea,Charly Musonda Jr.,be BEL,FW,20.0,0.4,1.0,2.43,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.43,1.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Chelsea,Callum Hudson-Odoi,eng ENG,"FW,DF",16.0,0.3,2.0,6.21,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Chelsea,Ethan Ampadu,wls WAL,DF,16.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Chelsea,Squad Total,,,26.7,38.0,1114.0,29.32,838.0,83.0,81.0,54.0,46.0,12.0,110.0,2.89,84.0,7.0,8.0,3.0,8.0,0.0,
2017-2018,EPL,Chelsea,Opponent Total,,,26.9,38.0,665.0,17.5,482.0,50.0,43.0,37.0,37.0,16.0,57.0,1.5,40.0,3.0,5.0,6.0,3.0,0.0,
2017-2018,EPL,Arsenal,Granit Xhaka,ch SUI,MF,24.0,36.2,113.0,3.12,85.0,19.0,3.0,3.0,1.0,2.0,18.0,0.5,11.0,5.0,0.0,1.0,0.0,1.0,Matches
2017-2018,EPL,Arsenal,Héctor Bellerín,es ESP,DF,22.0,33.9,85.0,2.51,76.0,2.0,1.0,2.0,3.0,1.0,8.0,0.24,7.0,0.0,0.0,1.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Petr Čech,cz CZE,GK,35.0,33.8,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Nacho Monreal,es ESP,DF,31.0,24.9,29.0,1.16,23.0,1.0,1.0,3.0,1.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Alexandre Lacazette,fr FRA,FW,26.0,24.5,95.0,3.88,59.0,0.0,13.0,12.0,10.0,1.0,13.0,0.53,7.0,0.0,0.0,4.0,1.0,1.0,Matches
2017-2018,EPL,Arsenal,Shkodran Mustafi,de GER,DF,25.0,25.3,18.0,0.71,15.0,1.0,0.0,1.0,0.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Laurent Koscielny,fr FRA,DF,31.0,24.7,16.0,0.65,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Sead Kolašinac,ba BIH,DF,24.0,23.9,50.0,2.1,41.0,3.0,3.0,2.0,1.0,0.0,6.0,0.25,6.0,0.0,0.0,0.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Mesut Özil,de GER,"MF,FW",28.0,24.0,161.0,6.7,133.0,17.0,5.0,4.0,2.0,0.0,17.0,0.71,10.0,3.0,1.0,2.0,1.0,0.0,Matches
2017-2018,EPL,Arsenal,Alex Iwobi,ng NGA,"MF,FW",21.0,20.3,82.0,4.03,70.0,1.0,5.0,4.0,2.0,0.0,12.0,0.59,11.0,0.0,0.0,1.0,0.0,0.0,Matches
2017-2018,EPL,Arsenal,Aaron Ramsey,wls WAL,MF,26.0,20.5,63.0,3.07,53.0,0.0,4.0,3.0,3.0,0.0,13.0,0.63,10.0,0.0,1.0,0.0,2.0,0.0,Matches
2017-2018,EPL,Arsenal,Alexis Sánchez,cl CHI,"MF,FW",28.0,16.7,122.0,7.31,78.0,6.0,14.0,13.0,11.0,0.0,14.0,0.84,8.0,0.0,3.0,2.0,1.0,0.0,Matches
2017-2018,EPL,Arsenal,Danny Welbeck,eng ENG,"FW,MF",26.0,13.3,42.0,3.17,27.0,0.0,3.0,4.0,8.0,0.0,5.0,0.38,4.0,0.0,0.0,0.0,1.0,0.0,Matches
