,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
319,Tom Bischof,de GER,"MF,FW",Hoffenheim,de Bundesliga,17,2005,3.5,0,7,2,28.6,2.0,0.57,0.0,0.0,22.4,0.0,0,0,1.0,1.0,0.14,-1.0,-1.0
320,Yves Bissouma,ml MLI,MF,Tottenham,eng Premier League,25,1996,11.2,0,6,0,0.0,0.53,0.0,0.0,,26.7,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2
321,Kristijan Bistrović,hr CRO,MF,Lecce,it Serie A,24,1998,5.1,0,8,1,12.5,1.56,0.2,0.0,0.0,24.4,4.0,0,0,0.3,0.3,0.04,-0.3,-0.3
322,Leonardo Bittencourt,de GER,"MF,DF",Werder Bremen,de Bundesliga,28,1993,18.1,3,25,9,36.0,1.38,0.5,0.12,0.33,22.3,2.0,0,0,1.4,1.4,0.05,1.6,1.6
323,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,31,1991,37.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
324,Lautaro Blanco,ar ARG,"DF,MF",Elche,es La Liga,23,1999,9.7,0,1,1,100.0,0.1,0.1,0.0,0.0,21.7,0.0,0,0,0.0,0.0,0.03,0.0,0.0
325,Rubén Blanco,es ESP,GK,Marseille,fr Ligue 1,27,1995,5.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
326,Ludovic Blas,fr FRA,"MF,FW",Nantes,fr Ligue 1,24,1997,31.3,7,95,32,33.7,3.04,1.02,0.05,0.16,21.5,4.0,2,4,9.3,6.4,0.07,-2.3,-1.4
327,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,31,1991,26.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
328,Miha Blažič,si SVN,DF,Angers,fr Ligue 1,29,1993,22.0,2,8,4,50.0,0.36,0.18,0.25,0.5,10.0,1.0,0,0,1.6,1.6,0.2,0.4,0.4
329,Joaquín Blázquez,ar ARG,GK,Brest,fr Ligue 1,21,2001,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
330,Alexis Blin,fr FRA,MF,Lecce,it Serie A,25,1996,26.4,1,22,4,18.2,0.83,0.15,0.05,0.25,12.9,0.0,0,0,2.8,2.8,0.13,-1.8,-1.8
331,Daley Blind,nl NED,"DF,MF",Bayern Munich,de Bundesliga,32,1990,1.5,0,1,1,100.0,0.67,0.67,0.0,0.0,24.8,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
332,Myron Boadu,nl NED,FW,Monaco,fr Ligue 1,21,2001,3.3,3,7,5,71.4,2.14,1.53,0.43,0.6,11.5,0.0,0,0,2.6,2.6,0.37,0.4,0.4
333,Jérôme Boateng,de GER,DF,Lyon,fr Ligue 1,33,1988,4.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
334,Kevin-Prince Boateng,gh GHA,MF,Hertha BSC,de Bundesliga,35,1987,5.2,0,6,0,0.0,1.16,0.0,0.0,,19.2,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3
335,Antonin Bobichon,fr FRA,MF,Angers,fr Ligue 1,26,1995,0.2,0,1,1,100.0,5.0,5.0,0.0,0.0,31.2,1.0,0,0,0.1,0.1,0.06,-0.1,-0.1
336,Jean-Paul Boëtius,nl NED,MF,Hertha BSC,de Bundesliga,28,1994,11.7,0,5,3,60.0,0.43,0.26,0.0,0.0,20.6,0.0,0,0,0.5,0.5,0.11,-0.5,-0.5
337,Jeremie Boga,ci CIV,"MF,FW",Atalanta,it Serie A,25,1997,8.7,2,13,3,23.1,1.5,0.35,0.15,0.67,20.2,2.0,0,0,1.9,1.9,0.14,0.1,0.1
338,Emil Bohinen,no NOR,MF,Salernitana,it Serie A,23,1999,9.2,0,4,0,0.0,0.43,0.0,0.0,,25.9,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
339,Quentin Boisgard,fr FRA,MF,Lorient,fr Ligue 1,25,1997,2.0,1,6,3,50.0,2.93,1.47,0.17,0.33,18.5,0.0,0,0,0.4,0.4,0.07,0.6,0.6
340,Willy Boly,ci CIV,DF,Nott'ham Forest,eng Premier League,31,1991,7.6,0,2,1,50.0,0.26,0.13,0.0,0.0,16.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0
341,Giacomo Bonaventura,it ITA,MF,Fiorentina,it Serie A,32,1989,21.2,5,49,14,28.6,2.31,0.66,0.1,0.36,19.6,2.0,0,0,4.3,4.3,0.09,0.7,0.7
342,Federico Bonazzoli,it ITA,"FW,MF",Salernitana,it Serie A,25,1997,12.4,2,32,7,21.9,2.57,0.56,0.06,0.29,18.9,1.0,0,0,2.4,2.4,0.07,-0.4,-0.4
343,Warren Bondo,fr FRA,MF,Monza,it Serie A,18,2003,0.7,0,1,0,0.0,1.5,0.0,0.0,,21.2,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
344,Theo Bongonda,cd COD,"MF,FW",Cádiz,es La Liga,26,1995,21.5,4,42,14,33.3,1.95,0.65,0.07,0.21,21.1,2.0,1,1,5.2,4.4,0.1,-1.2,-1.4
345,Kevin Bonifazi,it ITA,DF,Bologna,it Serie A,26,1996,10.0,0,2,0,0.0,0.2,0.0,0.0,,11.3,0.0,0,0,0.2,0.2,0.1,-0.2,-0.2
346,Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,35,1987,9.8,1,4,1,25.0,0.41,0.1,0.25,1.0,12.0,0.0,0,1,1.1,0.3,0.07,-0.1,0.7
347,Neto Borges,br BRA,DF,Clermont Foot,fr Ligue 1,25,1996,31.5,3,23,7,30.4,0.73,0.22,0.13,0.43,14.6,0.0,0,0,3.1,3.1,0.13,-0.1,-0.1
348,Yvandro Borges Sanches,lu LUX,"FW,MF",M'Gladbach,de Bundesliga,18,2004,0.3,0,1,0,0.0,3.21,0.0,0.0,,34.7,0.0,0,0,0.1,0.1,0.1,-0.1,-0.1
349,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,de Bundesliga,23,1999,21.4,1,4,3,75.0,0.19,0.14,0.25,0.33,11.3,0.0,0,0,0.4,0.4,0.1,0.6,0.6
350,Rafael Borré,co COL,"MF,FW",Eint Frankfurt,de Bundesliga,26,1995,12.0,2,24,7,29.2,2.0,0.58,0.04,0.14,13.1,0.0,1,1,4.1,3.3,0.14,-2.1,-2.3
351,Erik Botheim,no NOR,"MF,FW",Salernitana,it Serie A,22,2000,9.6,1,7,1,14.3,0.73,0.1,0.14,1.0,13.5,0.0,0,0,0.6,0.6,0.08,0.4,0.4
352,Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,22,2000,34.7,0,22,7,31.8,0.63,0.2,0.0,0.0,10.2,0.0,0,0,2.5,2.5,0.11,-2.5,-2.5
353,Kenji-Van Boto,mg MAD,DF,Auxerre,fr Ligue 1,26,1996,2.0,0,3,0,0.0,1.5,0.0,0.0,,24.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
354,Kouamé Botué,bf BFA,"FW,MF",Ajaccio,fr Ligue 1,19,2002,2.5,0,7,0,0.0,2.75,0.0,0.0,,14.2,0.0,0,0,1.2,1.2,0.17,-1.2,-1.2
355,Badredine Bouanani,dz ALG,"FW,MF",Nice,fr Ligue 1,17,2004,9.6,0,24,10,41.7,2.5,1.04,0.0,0.0,21.1,1.0,0,0,1.7,1.7,0.07,-1.7,-1.7
356,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,22,1999,20.8,1,21,9,42.9,1.01,0.43,0.05,0.11,23.8,0.0,0,0,0.9,0.9,0.04,0.1,0.1
357,Franci Bouebari,fr FRA,DF,Strasbourg,fr Ligue 1,18,2003,0.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
358,Sofiane Boufal,ma MAR,"FW,MF",Angers,fr Ligue 1,28,1993,9.3,4,21,9,42.9,2.27,0.97,0.1,0.22,20.8,4.0,2,2,3.6,2.1,0.1,0.4,-0.1
