,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
724,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,21,2000,13.6,0,1,0,0.0,0.07,0.0,0.0,,6.4,0.0,0,0,0.2,0.2,0.16,-0.2,-0.2
725,Stéphane Diarra,fr FRA,"FW,MF",Lorient,fr Ligue 1,23,1998,11.8,2,20,8,40.0,1.69,0.68,0.1,0.25,16.2,0.0,0,0,2.2,2.2,0.11,-0.2,-0.2
726,Youba Diarra,ml MLI,MF,Cádiz,es La Liga,24,1998,1.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
727,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,25,1997,22.2,0,10,2,20.0,0.45,0.09,0.0,0.0,9.1,0.0,0,0,1.3,1.3,0.13,-1.3,-1.3
728,Krépin Diatta,sn SEN,"MF,FW",Monaco,fr Ligue 1,23,1999,23.0,4,40,18,45.0,1.74,0.78,0.1,0.22,15.2,0.0,0,0,4.6,4.6,0.12,-0.6,-0.6
729,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,29,1993,37.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
730,Brahim Díaz,es ESP,"MF,FW",Milan,it Serie A,22,1999,21.4,6,35,16,45.7,1.64,0.75,0.17,0.38,14.5,1.0,0,0,6.0,6.0,0.17,0.0,0.0
731,Luis Díaz,co COL,FW,Liverpool,eng Premier League,25,1997,11.1,4,27,8,29.6,2.44,0.72,0.15,0.5,15.1,0.0,0,0,2.5,2.5,0.09,1.5,1.5
732,Justin Diehl,de GER,"MF,FW",Köln,de Bundesliga,17,2004,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
733,Bamba Dieng,sn SEN,"FW,MF",Marseille,fr Ligue 1,22,2000,2.2,1,11,5,45.5,5.1,2.32,0.09,0.2,12.5,0.0,0,0,1.5,1.5,0.14,-0.5,-0.5
734,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,22,2000,8.3,3,21,7,33.3,2.53,0.84,0.1,0.29,16.0,0.0,1,1,4.9,4.1,0.23,-1.9,-2.1
735,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,28,1994,31.3,2,17,4,23.5,0.54,0.13,0.12,0.5,11.8,2.0,0,0,1.6,1.6,0.1,0.4,0.4
736,Florian Dietz,de GER,FW,Köln,de Bundesliga,23,1998,4.4,1,17,6,35.3,3.87,1.37,0.06,0.17,11.9,0.0,0,0,2.5,2.5,0.15,-1.5,-1.5
737,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,29,1993,16.7,1,8,3,37.5,0.48,0.18,0.13,0.33,20.5,4.0,0,0,0.4,0.4,0.05,0.6,0.6
738,Federico Dimarco,it ITA,DF,Inter,it Serie A,24,1997,23.0,4,49,15,30.6,2.13,0.65,0.08,0.27,20.7,7.0,0,0,3.1,3.1,0.06,0.9,0.9
739,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,28,1993,36.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
740,Junior Dina Ebimbe,fr FRA,"DF,MF",Eint Frankfurt,de Bundesliga,21,2000,11.8,3,26,10,38.5,2.2,0.85,0.12,0.3,14.6,0.0,0,0,3.7,3.7,0.14,-0.7,-0.7
741,Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,31,1991,1.1,0,3,1,33.3,2.73,0.91,0.0,0.0,21.7,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
742,Eren Dinkçi,de GER,"FW,MF",Werder Bremen,de Bundesliga,20,2001,2.6,0,6,0,0.0,2.34,0.0,0.0,,15.4,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4
743,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,21,2001,21.7,0,10,2,20.0,0.46,0.09,0.0,0.0,12.6,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8
744,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,29,1992,5.6,1,12,3,25.0,2.13,0.53,0.08,0.33,14.5,0.0,0,0,2.2,2.2,0.18,-1.2,-1.2
745,Edan Diop,fr FRA,"DF,FW",Monaco,fr Ligue 1,17,2004,2.5,1,6,2,33.3,2.42,0.81,0.17,0.5,15.6,0.0,0,0,1.2,1.2,0.2,-0.2,-0.2
746,Issa Diop,fr FRA,DF,Fulham,eng Premier League,25,1997,22.4,1,3,2,66.7,0.13,0.09,0.33,0.5,12.3,0.0,0,0,0.3,0.3,0.09,0.7,0.7
747,Sofiane Diop,fr FRA,"MF,FW",Nice,fr Ligue 1,22,2000,13.6,1,28,9,32.1,2.05,0.66,0.04,0.11,20.0,1.0,0,0,2.6,2.6,0.09,-1.6,-1.6
748,Sofiane Diop,fr FRA,MF,Monaco,fr Ligue 1,22,2000,0.7,1,2,1,50.0,2.77,1.38,0.5,1.0,10.5,0.0,0,0,1.0,1.0,0.5,0.0,0.0
749,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,22,1999,31.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
750,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,24,1998,37.0,3,28,9,32.1,0.76,0.24,0.11,0.33,15.4,0.0,0,1,3.8,3.0,0.11,-0.8,0.0
751,Malcom Abdulai Ares Djalo,es ESP,"FW,MF",Athletic Club,es La Liga,20,2001,0.9,0,3,0,0.0,3.21,0.0,0.0,,21.3,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
752,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,22,2000,22.4,2,15,4,26.7,0.67,0.18,0.13,0.5,12.7,0.0,0,0,1.3,1.3,0.08,0.7,0.7
753,Djené,tg TOG,DF,Getafe,es La Liga,30,1991,31.6,0,9,1,11.1,0.29,0.03,0.0,0.0,15.3,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6
754,Moussa Djenepo,ml MLI,"DF,FW",Southampton,eng Premier League,24,1998,7.9,0,3,2,66.7,0.38,0.25,0.0,0.0,13.8,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
755,Koffi Djidji,ci CIV,DF,Torino,it Serie A,29,1992,26.9,1,8,4,50.0,0.3,0.15,0.13,0.25,12.2,0.0,0,0,0.9,0.9,0.12,0.1,0.1
756,Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,27,1994,29.7,1,17,5,29.4,0.57,0.17,0.06,0.2,14.4,1.0,0,0,1.4,1.4,0.08,-0.4,-0.4
757,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,29,1993,20.0,0,5,0,0.0,0.25,0.0,0.0,,7.6,0.0,0,0,0.6,0.6,0.12,-0.6,-0.6
758,Moussa Djitte,sn SEN,FW,Ajaccio,fr Ligue 1,22,1999,1.5,0,2,0,0.0,1.32,0.0,0.0,,23.3,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
759,Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,24,1998,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
760,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,30,1992,14.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
761,Alan Do Marcolino,ga GAB,FW,Rennes,fr Ligue 1,20,2002,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
762,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,16,2005,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
763,Ritsu Doan,jp JPN,"MF,FW",Freiburg,de Bundesliga,24,1998,26.9,5,57,27,47.4,2.12,1.0,0.09,0.19,17.3,0.0,0,0,7.0,7.0,0.12,-2.0,-2.0
764,Dodô,br BRA,DF,Fiorentina,it Serie A,23,1998,25.9,1,11,4,36.4,0.42,0.15,0.09,0.25,20.5,0.0,0,0,0.7,0.7,0.06,0.3,0.3
765,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,24,1998,24.6,5,17,9,52.9,0.69,0.37,0.29,0.56,11.6,0.0,0,0,1.9,1.9,0.11,3.1,3.1
766,Matt Doherty,ie IRL,"DF,MF",Tottenham,eng Premier League,30,1992,7.4,1,10,2,20.0,1.35,0.27,0.1,0.5,12.1,0.0,0,0,0.8,0.8,0.08,0.2,0.2
767,Matt Doherty,ie IRL,DF,Atlético Madrid,es La Liga,30,1992,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
768,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,20,2002,15.0,2,18,6,33.3,1.2,0.4,0.11,0.33,16.1,0.0,0,0,1.8,1.8,0.1,0.2,0.2
769,Jeremy Doku,be BEL,"MF,FW",Rennes,fr Ligue 1,20,2002,14.3,6,26,12,46.2,1.81,0.84,0.23,0.5,15.7,0.0,0,0,2.7,2.7,0.1,3.3,3.3
770,Kasper Dolberg,dk DEN,FW,Sevilla,es La Liga,24,1997,2.2,0,2,1,50.0,0.91,0.46,0.0,0.0,17.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0
771,Kasper Dolberg,dk DEN,"FW,MF",Hoffenheim,de Bundesliga,24,1997,4.5,1,7,3,42.9,1.57,0.67,0.14,0.33,16.7,0.0,0,0,0.5,0.5,0.07,0.5,0.5
772,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,21,2001,1.2,0,1,1,100.0,0.83,0.83,0.0,0.0,21.5,0.0,0,0,0.0,0.0,0.03,0.0,0.0
773,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,24,1998,25.6,3,42,17,40.5,1.64,0.67,0.07,0.18,22.5,0.0,0,0,2.6,2.6,0.06,0.4,0.4
774,John Donald,es ESP,"MF,DF",Elche,es La Liga,21,2000,12.1,0,2,0,0.0,0.16,0.0,0.0,,11.1,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
775,Giulio Donati,it ITA,DF,Monza,it Serie A,32,1990,4.7,1,2,1,50.0,0.43,0.21,0.5,1.0,19.2,0.0,0,0,0.4,0.4,0.2,0.6,0.6
776,Kyliane Dong,fr FRA,"MF,FW",Troyes,fr Ligue 1,17,2004,2.4,0,2,0,0.0,0.85,0.0,0.0,,20.7,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
777,Jordan Dongmo,cm CMR,MF,Troyes,fr Ligue 1,21,2001,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
778,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,23,1999,37.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
779,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,24,1998,5.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
780,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,24,1997,37.9,3,32,9,28.1,0.84,0.24,0.09,0.33,11.9,0.0,0,0,5.1,5.1,0.16,-2.1,-2.1
781,Jodel Dossou,bj BEN,"MF,DF",Clermont Foot,fr Ligue 1,30,1992,2.9,1,6,3,50.0,2.09,1.05,0.17,0.33,16.7,0.0,0,0,0.4,0.4,0.07,0.6,0.6
782,Lohann Doucet,fr FRA,"MF,FW",Nantes,fr Ligue 1,19,2002,1.0,0,1,1,100.0,0.99,0.99,0.0,0.0,16.2,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
783,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,29,1993,17.0,5,20,8,40.0,1.17,0.47,0.25,0.63,13.2,0.0,0,0,2.4,2.4,0.12,2.6,2.6
784,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,22,2000,30.8,0,36,7,19.4,1.17,0.23,0.0,0.0,24.6,0.0,0,0,1.4,1.4,0.04,-1.4,-1.4
785,Ckene Doucouré,km COM,"FW,MF",Lorient,fr Ligue 1,20,2002,1.5,0,7,1,14.3,4.63,0.66,0.0,0.0,13.5,0.0,0,0,0.7,0.7,0.11,-0.7,-0.7
786,Désiré Doué,fr FRA,"MF,FW",Rennes,fr Ligue 1,17,2005,12.4,3,21,6,28.6,1.7,0.48,0.14,0.5,21.0,0.0,0,0,1.6,1.6,0.07,1.4,1.4
787,Guela Doué,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2002,0.1,0,1,0,0.0,7.5,0.0,0.0,,31.4,0.0,0,0,0.0,0.0,0.03,0.0,0.0
788,Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,19,2003,25.5,1,9,2,22.2,0.35,0.08,0.11,0.5,25.4,0.0,0,0,0.3,0.3,0.03,0.7,0.7
789,Kamory Doumbia,ml MLI,MF,Reims,fr Ligue 1,19,2003,12.8,2,25,9,36.0,1.95,0.7,0.04,0.11,19.8,0.0,1,1,3.7,2.9,0.12,-1.7,-1.9
790,Souleyman Doumbia,ci CIV,"DF,FW",Angers,fr Ligue 1,25,1996,19.9,0,7,2,28.6,0.35,0.1,0.0,0.0,16.0,0.0,0,0,1.0,1.0,0.14,-1.0,-1.0
791,Flynn Downes,eng ENG,MF,West Ham,eng Premier League,23,1999,8.5,0,4,1,25.0,0.47,0.12,0.0,0.0,14.6,0.0,0,0,0.4,0.4,0.11,-0.4,-0.4
792,Kami Doyle,eng ENG,MF,Southampton,eng Premier League,16,2005,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
793,Bartłomiej Drągowski,pl POL,GK,Spezia,it Serie A,24,1997,32.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
794,Cody Drameh,eng ENG,DF,Leeds United,eng Premier League,20,2001,0.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
795,Dion Drena Beljo,hr CRO,FW,Augsburg,de Bundesliga,20,2002,12.5,3,13,5,38.5,1.04,0.4,0.23,0.6,15.2,0.0,0,0,1.6,1.6,0.12,1.4,1.4
796,Dominick Drexler,de GER,"MF,FW",Schalke 04,de Bundesliga,32,1990,15.2,4,16,6,37.5,1.05,0.4,0.25,0.67,14.6,0.0,0,0,2.4,2.4,0.15,1.6,1.6
797,Domingos Duarte,pt POR,DF,Getafe,es La Liga,27,1995,29.5,0,16,4,25.0,0.54,0.14,0.0,0.0,11.0,0.0,0,0,1.3,1.3,0.08,-1.3,-1.3
798,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,33,1989,1.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
799,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,28,1994,31.7,12,94,43,45.7,2.97,1.36,0.13,0.28,19.1,14.0,0,1,11.3,10.5,0.11,0.7,1.5
800,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,27,1994,11.8,0,13,4,30.8,1.1,0.34,0.0,0.0,22.6,1.0,0,0,0.8,0.8,0.07,-0.8,-0.8
801,Ondrej Duda,sk SVK,MF,Köln,de Bundesliga,27,1994,7.7,0,12,3,25.0,1.57,0.39,0.0,0.0,18.6,0.0,0,0,0.7,0.7,0.06,-0.7,-0.7
802,Shane Duffy,ie IRL,"DF,FW",Fulham,eng Premier League,30,1992,0.2,0,1,0,0.0,4.5,0.0,0.0,,6.1,0.0,0,0,0.2,0.2,0.16,-0.2,-0.2
803,Rémy Dugimont,fr FRA,"FW,MF",Auxerre,fr Ligue 1,36,1986,1.3,0,4,1,25.0,3.19,0.8,0.0,0.0,27.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
804,Denzel Dumfries,nl NED,DF,Inter,it Serie A,26,1996,24.6,1,33,13,39.4,1.34,0.53,0.03,0.08,11.4,0.0,0,0,3.6,3.6,0.11,-2.6,-2.6
805,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,29,1993,12.3,1,9,2,22.2,0.73,0.16,0.11,0.5,24.1,0.0,0,0,0.5,0.5,0.05,0.5,0.5
806,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,30,1991,36.0,1,22,3,13.6,0.61,0.08,0.05,0.33,11.7,1.0,0,0,1.7,1.7,0.08,-0.7,-0.7
807,Maxime Dupé,fr FRA,GK,Toulouse,fr Ligue 1,29,1993,38.0,0,1,0,0.0,0.03,0.0,0.0,,13.4,0.0,0,0,0.0,0.0,0.04,0.0,0.0
808,Jhon Durán,co COL,"FW,MF",Aston Villa,eng Premier League,18,2003,1.5,0,7,2,28.6,4.63,1.32,0.0,0.0,19.8,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6
809,Pablo Durán,es ESP,"MF,DF",Celta Vigo,es La Liga,21,2001,0.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
810,Julien Duranville,be BEL,MF,Dortmund,de Bundesliga,16,2006,0.3,0,1,0,0.0,3.1,0.0,0.0,,25.4,0.0,0,0,0.0,0.0,0.02,0.0,0.0
811,Hugo Duro,es ESP,FW,Valencia,es La Liga,22,1999,15.4,1,32,9,28.1,2.08,0.58,0.03,0.11,11.9,0.0,0,1,4.4,3.6,0.11,-3.4,-2.6
812,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,25,1997,27.9,0,5,1,20.0,0.18,0.04,0.0,0.0,17.2,0.0,0,0,0.4,0.4,0.08,-0.4,-0.4
813,Paulo Dybala,ar ARG,"MF,FW",Roma,it Serie A,28,1993,19.3,12,60,18,30.0,3.11,0.93,0.12,0.39,20.7,3.0,5,5,9.3,5.3,0.09,2.7,1.7
814,Edin Džeko,ba BIH,FW,Inter,it Serie A,36,1986,19.2,9,73,24,32.9,3.79,1.25,0.12,0.38,14.4,0.0,0,0,9.7,9.7,0.13,-0.7,-0.7
815,Malcolm Ebiowei,eng ENG,"MF,FW",Crystal Palace,eng Premier League,18,2003,0.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
816,Festy Ebosele,ie IRL,DF,Udinese,it Serie A,19,2002,4.6,0,4,1,25.0,0.88,0.22,0.0,0.0,21.5,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2
817,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,23,1999,10.3,0,3,0,0.0,0.29,0.0,0.0,,26.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
818,Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,26,1995,21.4,2,19,4,21.1,0.89,0.19,0.11,0.5,10.9,0.0,0,0,3.1,3.1,0.16,-1.1,-1.1
819,Ederson,br BRA,GK,Manchester City,eng Premier League,28,1993,35.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
820,Éderson,br BRA,MF,Atalanta,it Serie A,23,1999,24.6,1,36,10,27.8,1.46,0.41,0.03,0.1,21.3,0.0,0,0,2.0,2.0,0.06,-1.0,-1.0
821,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,24,1998,20.0,5,39,15,38.5,1.95,0.75,0.13,0.33,12.5,0.0,0,0,4.2,4.2,0.11,0.8,0.8
822,Samuel Edozie,eng ENG,"FW,MF",Southampton,eng Premier League,19,2003,6.3,0,8,3,37.5,1.27,0.48,0.0,0.0,16.5,0.0,0,0,0.9,0.9,0.11,-0.9,-0.9
823,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,25,1996,27.2,1,16,4,25.0,0.59,0.15,0.06,0.25,21.6,0.0,0,0,0.9,0.9,0.06,0.1,0.1
824,Lilian Egloff,de GER,"MF,FW",Stuttgart,de Bundesliga,19,2002,2.7,0,8,0,0.0,2.99,0.0,0.0,,20.6,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4
825,Íñigo Eguaras,es ESP,MF,Almería,es La Liga,30,1992,10.7,1,8,3,37.5,0.74,0.28,0.13,0.33,21.2,0.0,0,0,1.0,1.0,0.13,0.0,0.0
826,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,27,1995,17.1,2,13,6,46.2,0.76,0.35,0.15,0.33,15.1,0.0,0,0,2.0,2.0,0.16,0.0,0.0
827,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,27,1995,0.7,0,1,1,100.0,1.48,1.48,0.0,0.0,35.5,0.0,0,0,0.0,0.0,0.02,0.0,0.0
828,Julian Eitschberger,de GER,FW,Hertha BSC,de Bundesliga,18,2004,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
829,Chidera Ejuke,ng NGA,"FW,MF",Hertha BSC,de Bundesliga,24,1998,9.9,0,24,5,20.8,2.43,0.51,0.0,0.0,21.1,0.0,0,0,1.5,1.5,0.06,-1.5,-1.5
830,Albin Ekdal,se SWE,MF,Spezia,it Serie A,33,1989,19.3,0,19,4,21.1,0.99,0.21,0.0,0.0,14.4,0.0,0,0,2.9,2.9,0.16,-2.9,-2.9
831,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,20,2002,12.8,3,34,12,35.3,2.65,0.94,0.09,0.25,14.8,0.0,0,0,3.7,3.7,0.11,-0.7,-0.7
832,Emmanuel Ekong,se SWE,"FW,MF",Empoli,it Serie A,20,2002,0.2,0,1,0,0.0,4.5,0.0,0.0,,28.2,0.0,0,0,0.0,0.0,0.04,0.0,0.0
833,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,20,2002,4.7,0,10,4,40.0,2.11,0.85,0.0,0.0,13.8,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7
834,Alberth Elis,hn HON,"MF,FW",Brest,fr Ligue 1,26,1996,2.9,0,4,1,25.0,1.4,0.35,0.0,0.0,13.1,0.0,0,0,0.5,0.5,0.13,-0.5,-0.5
835,Mikael Ellertsson,is ISL,"MF,DF",Spezia,it Serie A,20,2002,1.9,0,2,0,0.0,1.05,0.0,0.0,,21.8,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
837,Elif Elmas,mk MKD,"FW,MF",Napoli,it Serie A,22,1999,18.1,6,32,10,31.3,1.77,0.55,0.16,0.5,17.7,1.0,1,1,4.0,3.3,0.1,2.0,1.7
838,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,30,1992,1.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
839,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,28,1994,16.1,0,8,0,0.0,0.5,0.0,0.0,,21.5,0.0,0,0,0.7,0.7,0.09,-0.7,-0.7
840,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,25,1996,31.4,3,18,9,50.0,0.57,0.29,0.17,0.33,10.5,0.0,0,0,2.6,2.6,0.14,0.4,0.4
841,Rodrigo Ely,br BRA,DF,Almería,es La Liga,28,1993,35.1,0,19,1,5.3,0.54,0.03,0.0,0.0,14.7,1.0,0,0,1.0,1.0,0.05,-1.0,-1.0
842,Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,eng Premier League,27,1994,24.1,1,36,10,27.8,1.49,0.42,0.03,0.1,15.8,0.0,0,0,3.5,3.5,0.1,-2.5,-2.5
843,Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,30,1992,16.4,4,47,19,40.4,2.87,1.16,0.06,0.16,23.9,13.0,1,1,3.8,3.1,0.06,0.2,-0.1
844,Adri Embarba,es ESP,FW,Espanyol,es La Liga,30,1992,0.4,0,2,0,0.0,5.14,0.0,0.0,,29.8,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
845,Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,25,1997,20.7,12,40,20,50.0,1.94,0.97,0.3,0.6,10.9,0.0,0,1,8.5,7.6,0.19,3.5,4.4
846,Emerson,br BRA,DF,Tottenham,eng Premier League,23,1999,19.3,2,17,6,35.3,0.88,0.31,0.12,0.33,16.6,0.0,0,0,1.7,1.7,0.1,0.3,0.3
847,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,25,1997,18.5,8,60,23,38.3,3.25,1.25,0.13,0.35,11.6,0.0,0,0,8.1,8.1,0.14,-0.1,-0.1
848,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,29,1993,32.5,5,45,15,33.3,1.39,0.46,0.11,0.33,16.7,0.0,0,0,3.8,3.8,0.09,1.2,1.2
849,Arne Engels,be BEL,MF,Augsburg,de Bundesliga,18,2003,16.0,0,17,2,11.8,1.06,0.12,0.0,0.0,26.8,2.0,0,0,0.6,0.6,0.03,-0.6,-0.6
850,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,30,1992,22.8,1,39,11,28.2,1.71,0.48,0.03,0.09,19.3,4.0,0,0,5.0,5.0,0.13,-4.0,-4.0
851,Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,24,1998,25.9,0,4,0,0.0,0.15,0.0,0.0,,8.8,0.0,0,0,0.5,0.5,0.12,-0.5,-0.5
852,Tjark Ernst,de GER,GK,Hertha BSC,de Bundesliga,19,2003,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
853,Gonzalo Escalante,ar ARG,MF,Cremonese,it Serie A,29,1993,6.2,0,6,1,16.7,0.97,0.16,0.0,0.0,17.9,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2
854,Gonzalo Escalante,ar ARG,MF,Cádiz,es La Liga,29,1993,12.5,4,14,6,42.9,1.12,0.48,0.29,0.67,12.5,0.0,0,0,3.5,3.5,0.25,0.5,0.5
855,Sergio Escudero,es ESP,DF,Valladolid,es La Liga,32,1989,16.0,1,27,7,25.9,1.69,0.44,0.04,0.14,23.4,3.0,0,0,1.5,1.5,0.06,-0.5,-0.5
856,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,30,1992,34.7,0,20,1,5.0,0.58,0.03,0.0,0.0,28.9,0.0,0,0,1.5,1.5,0.08,-1.5,-1.5
857,Bernardo Espinosa,co COL,DF,Girona,es La Liga,33,1989,13.6,1,11,5,45.5,0.81,0.37,0.09,0.2,10.7,0.0,0,0,1.2,1.2,0.11,-0.2,-0.2
858,Salvatore Esposito,it ITA,MF,Spezia,it Serie A,21,2000,10.8,1,14,2,14.3,1.3,0.19,0.07,0.5,28.5,11.0,0,0,0.7,0.7,0.05,0.3,0.3
859,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,20,2002,18.3,0,6,0,0.0,0.33,0.0,0.0,,9.5,0.0,0,0,0.6,0.6,0.09,-0.6,-0.6
860,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,24,1998,29.7,1,29,4,13.8,0.98,0.13,0.03,0.25,19.3,0.0,0,0,1.7,1.7,0.06,-0.7,-0.7
861,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,34,1988,11.7,0,1,1,100.0,0.09,0.09,0.0,0.0,3.8,0.0,0,0,0.2,0.2,0.17,-0.2,-0.2
862,Edu Expósito,es ESP,MF,Espanyol,es La Liga,25,1996,12.9,2,19,7,36.8,1.47,0.54,0.11,0.29,24.7,2.0,0,0,0.9,0.9,0.05,1.1,1.1
863,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,24,1998,29.3,10,70,25,35.7,2.39,0.85,0.13,0.36,21.9,14.0,1,1,7.3,6.5,0.09,2.7,2.5
864,Kimberly Ezekwem,de GER,DF,Freiburg,de Bundesliga,21,2001,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
